Format;Year;Revenue
LP/EP/Vinyl;1999;55.860918367
LP/EP/Vinyl;1999;49.010051020
LP/EP/Vinyl;2000;47.076326945
LP/EP/Vinyl;2000;44.697018002
LP/EP/Vinyl;2001;45.278074534
LP/EP/Vinyl;2001;51.888012422
LP/EP/Vinyl;2002;33.348679822
LP/EP/Vinyl;2002;40.506445247
LP/EP/Vinyl;2003;34.514203804
LP/EP/Vinyl;2003;34.196100543
LP/EP/Vinyl;2004;29.900696136
LP/EP/Vinyl;2004;30.830251456
LP/EP/Vinyl;2005;21.278550947
LP/EP/Vinyl;2005;19.780061444
LP/EP/Vinyl;2006;22.791088790
LP/EP/Vinyl;2006;14.371450893
LP/EP/Vinyl;2007;32.328989387
LP/EP/Vinyl;2007;5.646985046
LP/EP/Vinyl;2008;77.070633015
LP/EP/Vinyl;2008;3.941884228
LP/EP/Vinyl;2009;87.031090208
LP/EP/Vinyl;2009;3.410309177
LP/EP/Vinyl;2010;119.313522673
LP/EP/Vinyl;2010;3.086851543
LP/EP/Vinyl;2011;155.344368918
LP/EP/Vinyl;2011;5.984791432
LP/EP/Vinyl;2012;204.867751876
LP/EP/Vinyl;2012;6.045798333
LP/EP/Vinyl;2013;264.743437545
LP/EP/Vinyl;2013;3.742325237
LP/EP/Vinyl;2014;301.445489494
LP/EP/Vinyl;2014;6.798347230
LP/EP/Vinyl;2015;411.638251067
LP/EP/Vinyl;2015;7.103417800
LP/EP/Vinyl;2016;433.398306683
LP/EP/Vinyl;2016;5.951306897
LP/EP/Vinyl;2017;463.853289658
LP/EP/Vinyl;2017;7.257138808
LP/EP/Vinyl;2018;488.588467059
LP/EP/Vinyl;2018;6.667127757
LP/EP/Vinyl;2019;548.924508233
LP/EP/Vinyl;2019;7.702051567
LP/EP/Vinyl;2020;728.139201380
LP/EP/Vinyl;2020;7.143305476
LP/EP/Vinyl;2021;1128.158938777
LP/EP/Vinyl;2021;8.530848338
Streaming;2005;223.574633897
Streaming;2006;299.332643849
Streaming;2007;330.348625181
Streaming;2008;300.942471772
Streaming;2009;281.282300955
Streaming;2010;285.064029424
Streaming;2011;148.058535870
Streaming;2011;322.398112377
Streaming;2012;217.885057781
Streaming;2012;509.715507096
Streaming;2013;277.475015402
Streaming;2013;808.183783813
Streaming;2014;350.827758429
Streaming;2014;952.214832051
Streaming;2015;459.312409904
Streaming;2015;1428.237341766
Streaming;2016;313.732556520
Streaming;2016;581.381797523
Streaming;2016;86.129737141
Streaming;2016;2666.060755492
Streaming;2017;679.090770079
Streaming;2017;733.385797882
Streaming;2017;267.359277684
Streaming;2017;4011.303956951
Streaming;2018;863.038111846
Streaming;2018;877.228456961
Streaming;2018;242.621656220
Streaming;2018;5377.450986269
Streaming;2019;730.588584716
Streaming;2019;1159.964743859
Streaming;2019;237.299260745
Streaming;2019;7000.143341725
Streaming;2020;811.704709712
Streaming;2020;1353.017579959
Streaming;2020;238.871882203
Streaming;2020;7860.900431226
Streaming;2021;970.178541540
Streaming;2021;1844.965270936
Streaming;2021;219.784514191
Streaming;2021;9248.088821542
